,ADC channel,average,error
838,7885.0,0.0,0.0
839,7895.0,0.0,0.0
840,7905.0,0.0,0.0
841,7915.0,0.0,0.0
842,7925.0,0.0,0.0
843,7935.0,0.0,0.0
844,7945.0,0.0,0.0
845,7955.0,0.0,0.0
846,7965.0,0.0,0.0
847,7975.0,0.0,0.0
848,7985.0,0.0,0.0
849,7995.0,0.0,0.0
850,8005.0,0.0,0.0
851,8015.0,0.0,0.0
852,8025.0,0.0,0.0
853,8035.0,0.0,0.0
854,8045.0,0.0,0.0
855,8055.0,0.0,0.0
856,8065.0,0.0,0.0
857,8075.0,0.0,0.0
858,8085.0,0.0,0.0
859,8095.0,0.0,0.0
860,8105.0,0.0,0.0
861,8115.0,0.0,0.0
862,8125.0,0.0,0.0
863,8135.0,0.0,0.0
864,8145.0,0.0,0.0
865,8155.0,0.0,0.0
866,8165.0,0.0,0.0
867,8175.0,0.0,0.0
868,8185.0,0.0,0.0
869,8195.0,0.0,0.0
870,8205.0,0.0,0.0
871,8215.0,0.0,0.0
872,8225.0,0.0,0.0
873,8235.0,0.0,0.0
874,8245.0,0.0,0.0
875,8255.0,0.0,0.0
876,8265.0,0.0,0.0
877,8275.0,0.0,0.0
878,8285.0,0.0,0.0
879,8295.0,0.0,0.0
880,8305.0,0.0,0.0
881,8315.0,0.0,0.0
882,8325.0,0.0,0.0
883,8335.0,0.0,0.0
884,8345.0,0.0,0.0
885,8355.0,0.0,0.0
886,8365.0,0.0,0.0
887,8375.0,0.0,0.0
888,8385.0,0.0,0.0
889,8395.0,0.0,0.0
890,8405.0,0.0,0.0
891,8415.0,0.0,0.0
892,8425.0,0.0,0.0
893,8435.0,0.0,0.0
894,8445.0,0.0,0.0
895,8455.0,0.0,0.0
896,8465.0,0.0,0.0
897,8475.0,0.0,0.0
898,8485.0,0.0,0.0
899,8495.0,0.0,0.0
900,8505.0,0.0,0.0
901,8515.0,0.0,0.0
902,8525.0,0.0,0.0
903,8535.0,0.0,0.0
904,8545.0,0.0,0.0
905,8555.0,0.0,0.0
906,8565.0,0.0,0.0
907,8575.0,0.0,0.0
908,8585.0,0.0,0.0
909,8595.0,0.0,0.0
910,8605.0,0.0,0.0
911,8615.0,0.0,0.0
912,8625.0,0.0,0.0
913,8635.0,0.0,0.0
914,8645.0,0.0,0.0
915,8655.0,0.0,0.0
916,8665.0,0.0,0.0
917,8675.0,0.0,0.0
918,8685.0,0.0,0.0
919,8695.0,0.0,0.0
920,8705.0,0.0,0.0
921,8715.0,0.0,0.0
922,8725.0,0.0,0.0
923,8735.0,0.0,0.0
924,8745.0,0.0,0.0
925,8755.0,0.0,0.0
926,8765.0,0.0,0.0
927,8775.0,0.0,0.0
928,8785.0,0.0,0.0
929,8795.0,0.0,0.0
930,8805.0,0.0,0.0
931,8815.0,0.0,0.0
932,8825.0,0.0,0.0
933,8835.0,0.0,0.0
